id,msu_email,password,role,created_at,is_blocked
1,elizabeth.petty1@my.msutexas.edu,+_3lMfcm+B,user,2025-04-20 16:46:20.315207+00:00,False
2,briana.jones2@my.msutexas.edu,lRkeP&Xc&9,user,2025-04-20 16:46:20.316090+00:00,False
3,michael.turner3@my.msutexas.edu,*kD937BaMm,user,2025-04-20 16:46:20.316491+00:00,False
4,pamela.gonzalez4@my.msutexas.edu,j8h&QzbL+0,user,2025-04-20 16:46:20.316865+00:00,False
5,danielle.hawkins5@my.msutexas.edu,srho6Naz)c,user,2025-04-20 16:46:20.317350+00:00,False
6,pamela.ingram6@my.msutexas.edu,@!Anyzw49l,user,2025-04-20 16:46:20.317723+00:00,False
7,manuel.sanchez7@my.msutexas.edu,a$5DaI0+@d,user,2025-04-20 16:46:20.318124+00:00,False
8,james.keller8@my.msutexas.edu,g0_DGOsK$D,user,2025-04-20 16:46:20.318479+00:00,False
9,jessica.clarke9@my.msutexas.edu,@l#7Uo(Np(,user,2025-04-20 16:46:20.318853+00:00,False
10,jesse.ward10@my.msutexas.edu,+LPBimQDi0,user,2025-04-20 16:46:20.319227+00:00,False
11,tiffany.watson11@my.msutexas.edu,!&9fDw%zhE,user,2025-04-20 16:46:20.319548+00:00,False
12,jennifer.gonzales12@my.msutexas.edu,%+8dtYpAre,user,2025-04-20 16:46:20.319861+00:00,False
13,david.campbell13@my.msutexas.edu,#e0AnNr5G#,user,2025-04-20 16:46:20.320149+00:00,False
14,john.farmer14@my.msutexas.edu,d&m5RUsgC2,user,2025-04-20 16:46:20.320440+00:00,False
15,shane.johnson15@my.msutexas.edu,9#2@8sLxSX,user,2025-04-20 16:46:20.320875+00:00,False
16,zachary.garcia16@my.msutexas.edu,$_1MFoA!!Y,user,2025-04-20 16:46:20.321175+00:00,False
17,patricia.bass17@my.msutexas.edu,#0S!hGzvfv,user,2025-04-20 16:46:20.321462+00:00,False
18,allison.erickson18@my.msutexas.edu,+Wg@5KSll%,user,2025-04-20 16:46:20.321738+00:00,False
19,amanda.green19@my.msutexas.edu,@oN+0Liyud,user,2025-04-20 16:46:20.322043+00:00,False
20,laura.baldwin20@my.msutexas.edu,uTY2CbaD(5,user,2025-04-20 16:46:20.322376+00:00,False
21,charles.long21@my.msutexas.edu,&ReVWuty3H,user,2025-04-20 16:46:20.322651+00:00,False
22,debra.duran22@my.msutexas.edu,7S&6YjS)p*,user,2025-04-20 16:46:20.322951+00:00,False
23,michael.meyer23@my.msutexas.edu,@u0$vTvl5o,user,2025-04-20 16:46:20.323243+00:00,False
24,amanda.jackson24@my.msutexas.edu,)vm7Rjqv$1,user,2025-04-20 16:46:20.323608+00:00,False
25,jennifer.matthews25@my.msutexas.edu,X)X2bAepo8,user,2025-04-20 16:46:20.323910+00:00,False
26,ryan.wallace26@my.msutexas.edu,s^3Tljc6gT,user,2025-04-20 16:46:20.324209+00:00,False
27,bianca.johnson27@my.msutexas.edu,9*MQZ6WnBv,user,2025-04-20 16:46:20.324491+00:00,False
28,andrew.porter28@my.msutexas.edu,746dOWuxJ@,user,2025-04-20 16:46:20.324804+00:00,False
29,tom.mercer29@my.msutexas.edu,yEl#^7RcFm,user,2025-04-20 16:46:20.325107+00:00,False
30,isaiah.browning30@my.msutexas.edu,4G91k60eH!,user,2025-04-20 16:46:20.325438+00:00,False
31,brian.jones31@my.msutexas.edu,+8_FcHGam%,user,2025-04-20 16:46:20.325732+00:00,False
32,rebecca.moore32@my.msutexas.edu,dZ_c9)Fa+#,user,2025-04-20 16:46:20.326018+00:00,False
33,jeremy.banks33@my.msutexas.edu,#75Fj0iv5$,user,2025-04-20 16:46:20.326308+00:00,False
34,aaron.smith34@my.msutexas.edu,)2D7QdSe6O,user,2025-04-20 16:46:20.326875+00:00,False
35,angela.wolf35@my.msutexas.edu,)9aNDy&4#f,user,2025-04-20 16:46:20.327221+00:00,False
36,dennis.mason36@my.msutexas.edu,t3+4OA5pPX,user,2025-04-20 16:46:20.327507+00:00,False
37,alexander.clark37@my.msutexas.edu,M&)T5YcA^E,user,2025-04-20 16:46:20.327778+00:00,False
38,thomas.garcia38@my.msutexas.edu,^3InxCUi+%,user,2025-04-20 16:46:20.328035+00:00,False
39,jason.joseph39@my.msutexas.edu,1*%p0Pmj3f,user,2025-04-20 16:46:20.328283+00:00,False
40,denise.cook40@my.msutexas.edu,oA@Z3T)i8),user,2025-04-20 16:46:20.328566+00:00,False
41,karen.watts41@my.msutexas.edu,L!1SglzI&+,user,2025-04-20 16:46:20.328833+00:00,False
42,rhonda.mills42@my.msutexas.edu,$8RJ#MMzNr,user,2025-04-20 16:46:20.329076+00:00,False
43,jacqueline.gates43@my.msutexas.edu,+3kQ1F6Sll,user,2025-04-20 16:46:20.329314+00:00,False
44,jonathan.smith44@my.msutexas.edu,(v8R!m7H7@,user,2025-04-20 16:46:20.329597+00:00,False
45,victoria.pearson45@my.msutexas.edu,u!7*R)eR4t,user,2025-04-20 16:46:20.329855+00:00,False
46,justin.schneider46@my.msutexas.edu,10@KDmPf!F,user,2025-04-20 16:46:20.330109+00:00,False
47,timothy.harvey47@my.msutexas.edu,&Cs%FhFn8$,user,2025-04-20 16:46:20.330366+00:00,False
48,tony.brady48@my.msutexas.edu,q)8jLJPx3p,user,2025-04-20 16:46:20.330630+00:00,False
49,melissa.brown49@my.msutexas.edu,E$L3Wn0e#%,user,2025-04-20 16:46:20.330872+00:00,False
50,tammy.sanford50@my.msutexas.edu,V@O191Ym^9,user,2025-04-20 16:46:20.331103+00:00,False
51,beverly.mckay51@my.msutexas.edu,%Z6wuCs+Xo,user,2025-04-20 16:46:20.331355+00:00,False
52,john.stevens52@my.msutexas.edu,#g5%%R3pI5,user,2025-04-20 16:46:20.331587+00:00,False
53,trevor.barker53@my.msutexas.edu,Rd3TK9AaX#,user,2025-04-20 16:46:20.331840+00:00,False
54,donna.knapp54@my.msutexas.edu,Ql$8XOv$C@,user,2025-04-20 16:46:20.332113+00:00,False
55,david.wells55@my.msutexas.edu,A2+8RM#je!,user,2025-04-20 16:46:20.332453+00:00,False
56,shawn.cooper56@my.msutexas.edu,^f(2QVrq@g,user,2025-04-20 16:46:20.332707+00:00,False
57,michelle.whitaker57@my.msutexas.edu,65N8lbzL+0,user,2025-04-20 16:46:20.332976+00:00,False
58,alexandra.jones58@my.msutexas.edu,7_qk3dNl*U,user,2025-04-20 16:46:20.333224+00:00,False
59,alfred.diaz59@my.msutexas.edu,*S2QFzec93,user,2025-04-20 16:46:20.333502+00:00,False
60,david.warren60@my.msutexas.edu,%0t9KG&mcR,user,2025-04-20 16:46:20.333775+00:00,False
61,christopher.gonzales61@my.msutexas.edu,$3!qy1Mi^m,user,2025-04-20 16:46:20.334024+00:00,False
62,jessica.johnson62@my.msutexas.edu,^5gq5ACe8G,user,2025-04-20 16:46:20.334300+00:00,False
