id,user_id,first_name,last_name,msu_email,msu_id,profile_image,modified_profile_at,created_profile_at,age,gender,bio,majors,room_number,residence_hall_id
1,1,Elizabeth,Petty,elizabeth.petty1@my.msutexas.edu,M51536344111,,2025-04-20 11:46:20.314907,2025-04-20 11:46:20.314915,37,Female,"Officer risk quality. Throughout no design. Again sing evidence unit life.
And threat agent radio specific certainly add. Treatment particularly bring five draw. Election yeah probably cold.",Computer Science,,
2,2,Briana,Jones,briana.jones2@my.msutexas.edu,M96976139222,,2025-04-20 11:46:20.315898,2025-04-20 11:46:20.315902,31,Female,"City personal hold develop store way power. Police day room community at put factor.
Large cup crime help edge. Include similar purpose impact nation stuff mouth.",Education,,
3,3,Michael,Turner,michael.turner3@my.msutexas.edu,M80602838333,,2025-04-20 11:46:20.316321,2025-04-20 11:46:20.316323,29,Female,"Easy chair form scientist. Bit which feeling future power performance understand. War leg question part.
Cold scene note team.
Billion seat nothing economy it Mr.",Engineering,,
4,4,Pamela,Gonzalez,pamela.gonzalez4@my.msutexas.edu,M18604599444,,2025-04-20 11:46:20.316707,2025-04-20 11:46:20.316709,47,Male,"Human carry early area choose.
Democratic budget else leg enough democratic. Poor dinner tend.",Engineering,,
5,5,Danielle,Hawkins,danielle.hawkins5@my.msutexas.edu,M81049650555,,2025-04-20 11:46:20.317080,2025-04-20 11:46:20.317082,29,Male,"Citizen picture red clear TV news help detail. After local summer rise action just. Bad your against daughter nearly use.
Current traditional interest indeed. Crime former would at example way.",Computer Science,,
6,6,Pamela,Ingram,pamela.ingram6@my.msutexas.edu,M23385213666,,2025-04-20 11:46:20.317579,2025-04-20 11:46:20.317582,18,Other,Recent mission which know we chair. International discover join look unit gun exactly.,Psychology,,
7,7,Manuel,Sanchez,manuel.sanchez7@my.msutexas.edu,M47764592777,,2025-04-20 11:46:20.317946,2025-04-20 11:46:20.317948,39,Other,"Sit Congress quickly science without attack red. Five result author.
Future artist actually senior without shake none song. White week listen perform young.",Engineering,,
8,8,James,Keller,james.keller8@my.msutexas.edu,M24010879888,,2025-04-20 11:46:20.318336,2025-04-20 11:46:20.318337,32,Other,Set firm him animal share buy. Simple become herself stock again send. Without themselves rate piece people unit present.,Engineering,,
9,9,Jessica,Clarke,jessica.clarke9@my.msutexas.edu,M36639818999,,2025-04-20 11:46:20.318691,2025-04-20 11:46:20.318693,26,Other,"Reach usually husband book son century. Low power take way.
Democrat about west better peace collection tell standard. Form for term some guess.",Engineering,,
10,10,Jesse,Ward,jesse.ward10@my.msutexas.edu,M52654201101010,,2025-04-20 11:46:20.319065,2025-04-20 11:46:20.319067,19,Other,"Friend cold loss thing senior. Yes paper the boy network son ago. Clearly wonder fly kid collection brother.
Maybe material experience trial choice. Region current low early wonder ahead.",Psychology,,
11,11,Tiffany,Watson,tiffany.watson11@my.msutexas.edu,M34623528111111,,2025-04-20 11:46:20.319420,2025-04-20 11:46:20.319421,49,Other,"Article team doctor window wife three she. Idea yard hundred according each perhaps throw. Art benefit figure full discuss.
Full name north recognize. Information right example couple against choose.",Psychology,,
12,12,Jennifer,Gonzales,jennifer.gonzales12@my.msutexas.edu,M43568244121212,,2025-04-20 11:46:20.319717,2025-04-20 11:46:20.319719,23,Female,"Imagine kind art agree Mrs day. Catch go old group check better sense.
Forward state against four authority. Lose ball today rise according feel. Story deal old which.",Computer Science,,
13,13,David,Campbell,david.campbell13@my.msutexas.edu,M89530851131313,,2025-04-20 11:46:20.320031,2025-04-20 11:46:20.320032,46,Other,Stand carry could church interesting prepare approach. Our such focus technology prepare sense expect arm. Garden one blue.,Business,,
